Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
25,100742,Matheus Henrique,CRU,Meia,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,100848,Luan Cândido,SPT,Lateral,visitante,1.7,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
25,100898,Vitinho,BOT,Lateral,visitante,3.9,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
25,100969,Ronald Lopes,VIT,Meia,visitante,4.8,1.0,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
25,101002,Júnior Santos,CAM,Atacante,mandante,0.0,,,,,,,,,,,,,,,,,,,,
25,101027,Diego,CEA,Lateral,visitante,8.9,,2.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,
25,101290,Ferreira,SAO,Atacante,mandante,6.8,,,,,2.0,1.0,,,,,,,,,,,1.0,,,
25,101314,Ademir,BAH,Atacante,mandante,7.8,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
25,101319,Guga,FLU,Lateral,mandante,8.5,,1.0,,,2.0,,1.0,,,,,,,,,,,,,
25,101574,Hugo Souza,COR,Goleiro,mandante,-2.0,,,,,,,,,,,,2.0,,,,,,,,
25,101594,Hugo Moura,VAS,Meia,mandante,7.2,,,,1.0,5.0,,,,,,,,,,,,,,,
25,101597,Ramon,VIT,Lateral,visitante,2.4,,,,2.0,2.0,,,,,,,,,,,,,,,
25,101727,Matheuzinho,COR,Lateral,mandante,1.6,,,,,,2.0,,,,,,,,,,,,,,
25,101908,Willian Machado,CEA,Zagueiro,visitante,6.7,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,
25,101960,Vitinho,INT,Atacante,visitante,-0.1,,1.0,,2.0,,,,,,,,,,,,,,,,
25,102130,Piquerez,PAL,Lateral,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,102253,Lucas Halter,VIT,Zagueiro,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,102256,Rollheiser,SAN,Meia,visitante,2.9,,,,,2.0,,,,,1.0,,,,,,,,,,
25,102318,Caio Paulista,CAM,Lateral,mandante,9.2,1.0,,,,2.0,,1.0,,,,,,,,,,,,,
25,102340,Cacá,COR,Zagueiro,mandante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
25,102928,Canobbio,FLU,Atacante,mandante,2.6,,,,1.0,2.0,,,,,1.0,,,,,,,,,,
25,102950,Facundo Torres,PAL,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,103014,Laquintana,RBB,Atacante,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,103056,Gabriel Brazão,SAN,Goleiro,visitante,-2.0,,,,,,,,,,,,2.0,,,,,,,,
25,103179,Chris Ramos,BOT,Atacante,visitante,2.4,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
25,103295,Eric Ramires,RBB,Meia,mandante,2.8,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
25,103445,Kaio Jorge,CRU,Atacante,visitante,4.0,1.0,3.0,,1.0,,2.0,,,,,,,,,,,,,,
25,103523,Ignácio,FLU,Zagueiro,mandante,4.7,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
25,103576,Rafael Bilu,JUV,Atacante,mandante,1.8,1.0,3.0,,3.0,,,,,,,,,,,,,,,,
25,103767,Gabriel Menino,CAM,Meia,mandante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
25,103912,Hernán Crespo,SAO,Técnico,mandante,3.55,,,,,,,,,,,,,,,,,,,,
25,104027,Rafael Guanaes,MIR,Técnico,visitante,3.25,,,,,,,,,,,,,,,,,,,,
25,104075,Sabino,SAO,Zagueiro,mandante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
25,104118,Lucas Arcanjo,VIT,Goleiro,visitante,0.9,,,,,,,,,,,3.0,3.0,,,,,,,,
25,104204,Edson Carioca,MIR,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,104502,Christian,CRU,Meia,visitante,2.9,,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
25,104521,Vinícius Zanocelo,CEA,Meia,visitante,-0.4,,1.0,,3.0,,,,,,,,,,,,,,,,
25,104693,Newton,BOT,Meia,visitante,2.7,,,,1.0,,,,,,,,,,,,,1.0,,,
25,104754,Juan Vojvoda,SAN,Técnico,visitante,5.71,,,,,,,,,,,,,,,,,,,,
25,104758,Enzo Díaz,SAO,Lateral,mandante,1.9,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
25,104783,Acevedo,BAH,Meia,mandante,-0.2,,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
25,105047,João Marcelo,CRU,Zagueiro,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,105114,Alexis Duarte,SAN,Zagueiro,visitante,5.9,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,
25,105214,Santiago Rodríguez,BOT,Meia,visitante,6.2,,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
25,105258,Gastón Ávila,FOR,Zagueiro,mandante,9.1,,1.0,,3.0,3.0,,1.0,,,,,,,,,,,,,
25,105373,Gabriel Xavier,BAH,Zagueiro,mandante,7.1,,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,
