Rodada,Confronto,Time A,Time B,ID A,ID B
4,2,GaúchoDaFronteira F.C,Arran Katoko FC,2371918,19833277
4,3,lsauer fc,Medonho´s F.C.,44810918,1867254
4,4,Grêmio_Campeão_LA_27,GE Xavanchesteer,47775950,16411206
4,5,Pontaç0 F.C.,Pepe Leal FC,20651178,1326835
4,6,GrioTeam,SC 100 Sono,14933455,14709358
4,7,C R Juvenal,SC ÉoINTER!,1488983,184499
4,8,Doug Leal F.C,bugredasmissões,287965,19209079
4,9,JV5 Tricolor Gaúcho,NHU PORÃ SAF.,1747619,4088673
4,10,Texas Club 2026,La Primeira Patada Es Nuestra,1273719,32966
5,1,La Primeira Patada Es Nuestra,FBC Colorado,32966,186283
5,2,GaúchoDaFronteira F.C,lsauer fc,2371918,44810918
5,3,Arran Katoko FC,GE Xavanchesteer,19833277,16411206
5,4,Medonho´s F.C.,Pontaç0 F.C.,1867254,20651178
5,5,Grêmio_Campeão_LA_27,GrioTeam,47775950,14933455
5,6,Pepe Leal FC,SC ÉoINTER!,1326835,184499
5,7,SC 100 Sono,Doug Leal F.C,14709358,287965
5,8,NHU PORÃ SAF.,C R Juvenal,4088673,1488983
5,9,Esquadrão Gazembrino,bugredasmissões,2916559,19209079
5,10,JV5 Tricolor Gaúcho,Texas Club 2026,1747619,1273719
6,1,FBC Colorado,JV5 Tricolor Gaúcho,186283,1747619
6,2,GE Xavanchesteer,GaúchoDaFronteira F.C,16411206,2371918
6,3,Pontaç0 F.C.,lsauer fc,20651178,44810918
6,4,GrioTeam,Arran Katoko FC,14933455,19833277
6,5,Medonho´s F.C.,SC ÉoINTER!,1867254,184499
6,6,Doug Leal F.C,Grêmio_Campeão_LA_27,287965,47775950
6,7,Pepe Leal FC,NHU PORÃ SAF.,1326835,4088673
6,8,SC 100 Sono,Esquadrão Gazembrino,14709358,2916559
6,9,Texas Club 2026,C R Juvenal,1273719,1488983
6,10,La Primeira Patada Es Nuestra,bugredasmissões,32966,19209079
7,1,FBC Colorado,C R Juvenal,186283,1488983
7,2,GaúchoDaFronteira F.C,Pontaç0 F.C.,2371918,20651178
7,3,GE Xavanchesteer,GrioTeam,16411206,14933455
7,4,lsauer fc,SC ÉoINTER!,44810918,184499
7,5,Doug Leal F.C,Arran Katoko FC,287965,19833277
7,6,Medonho´s F.C.,NHU PORÃ SAF.,1867254,4088673
7,7,Grêmio_Campeão_LA_27,Esquadrão Gazembrino,47775950,2916559
7,8,Texas Club 2026,Pepe Leal FC,1273719,1326835
7,9,SC 100 Sono,La Primeira Patada Es Nuestra,14709358,32966
7,10,bugredasmissões,JV5 Tricolor Gaúcho,19209079,1747619
8,1,FBC Colorado,Pepe Leal FC,186283,1326835
8,2,GrioTeam,GaúchoDaFronteira F.C,14933455,2371918
8,3,Pontaç0 F.C.,SC ÉoINTER!,20651178,184499
8,4,Doug Leal F.C,GE Xavanchesteer,287965,16411206
8,5,NHU PORÃ SAF.,lsauer fc,4088673,44810918
8,6,Arran Katoko FC,Esquadrão Gazembrino,19833277,2916559
8,7,Texas Club 2026,Medonho´s F.C.,1273719,1867254
8,8,La Primeira Patada Es Nuestra,Grêmio_Campeão_LA_27,32966,47775950
8,9,JV5 Tricolor Gaúcho,SC 100 Sono,1747619,14709358
8,10,bugredasmissões,C R Juvenal,19209079,1488983
9,1,FBC Colorado,Medonho´s F.C.,186283,1867254
9,2,SC ÉoINTER!,GaúchoDaFronteira F.C,184499,2371918
9,3,Doug Leal F.C,GrioTeam,287965,14933455
9,4,NHU PORÃ SAF.,Pontaç0 F.C.,4088673,20651178
9,5,GE Xavanchesteer,Esquadrão Gazembrino,16411206,2916559
9,6,lsauer fc,Texas Club 2026,44810918,1273719
9,7,La Primeira Patada Es Nuestra,Arran Katoko FC,32966,19833277
9,8,JV5 Tricolor Gaúcho,Grêmio_Campeão_LA_27,1747619,47775950
9,9,Pepe Leal FC,bugredasmissões,1326835,19209079
9,10,C R Juvenal,SC 100 Sono,1488983,14709358
10,1,FBC Colorado,lsauer fc,186283,44810918
